toothbrush_type, plaque_index, frequency, percentage, before_brush, after_brush
     manual, 2.25, 1, 2, yes, no
     manual, 2.29, 3, 6, yes, no
     manual, 2.33, 1, 2, yes, no
     manual, 2.37, 4, 8, yes, no
     manual, 2.41, 2, 4, yes, no
     manual, 2.45, 5, 10, yes, no
     manual, 2.5, 5, 10, yes, no
     manual, 2.54, 3, 6, yes, no
     manual, 2.58, 3, 6, yes, no
     manual, 2.7, 3, 6, yes, no
     manual, 2.75, 5, 10, yes, no
     manual, 2.79, 4, 8, yes, no
     manual, 2.85, 1, 2, yes, no
     manual, 2.87, 3, 6, yes, no
     manual, 2.92, 7, 14, yes, no
     manual, 0.5, 2, 4, no, yes
     manual, 0.54, 1, 2, no, yes
     manual, 0.58, 4, 8, no, yes
     manual, 0.62, 3, 6, no, yes
     manual, 0.66, 4, 8, no, yes
     manual, 0.7, 5, 10, no, yes
     manual, 0.75, 3, 6, no, yes
     manual, 0.79, 5, 10, no, yes
     manual, 0.83, 6, 12, no, yes
     manual, 0.87, 5, 10, no, yes
     manual, 0.91, 1, 2, no, yes
     manual, 0.95, 5, 10, no, yes
     manual, 1, 6, 12, no, yes
     electric, 2.2, 1, 2, yes, no
     electric, 2.25, 1, 2, yes, no
     electric, 2.29, 2, 4, yes, no
     electric, 2.33, 2, 4, yes, no
     electric, 2.37, 2, 4, yes, no
     electric, 2.41, 4, 8, yes, no
     electric, 2.45, 2, 4, yes, no
     electric, 2.5, 11, 22, yes, no
     electric, 2.54, 2, 4, yes, no
     electric, 2.58, 1, 2, yes, no
     electric, 2.62, 1, 2, yes, no
     electric, 2.66, 3, 6, yes, no
     electric, 2.7, 4, 8, yes, no
     electric, 2.79, 6, 12, yes, no
     electric, 2.83, 3, 6, yes, no
     electric, 2.87, 2, 4, yes, no
     electric, 2.92, 3, 6, yes, no
     electric, 0.45, 1, 2, no, yes
     electric, 0.5, 3, 6, no, yes
     electric, 0.54, 1, 2, no, yes
     electric, 0.58, 2, 4, no, yes
     electric, 0.62, 4, 8, no, yes
     electric, 0.66, 8, 16, no, yes
     electric, 0.7, 5, 10, no, yes
     electric, 0.75, 4, 8, no, yes
     electric, 0.79, 6, 12, no, yes
     electric, 0.83, 5, 10, no, yes
     electric, 0.87, 6, 12, no, yes
     eletric, 0.91, 2, 4, no, yes
     electric, 0.95, 1, 2, no, yes
     electric, 0.97, 1, 2, no, yes
     electric, 1, 1, 2, no, yes
     ultrasonic, 2.29, 5, 10, yes, no
     ultrasonic, 2.33, 1, 2, yes, no
     ultrasonic, 2.37, 4, 8, yes, no
     ultrasonic, 2.41, 1, 6, yes, no
     ultrasonic, 2.45, 4, 8, yes, no
     ultrasonic, 2.5, 1, 2, yes, no
     ultrasonic, 2.54, 4, 8, yes, no
     ultrasonic, 2.58, 6, 12, yes, no
     ultrasonic, 2.62, 3, 6, yes, no
     ultrasonic, 2.66, 2, 4, yes, no
     ultrasonic, 2.7, 3, 6, yes, no
     ultrasonic, 2.75, 1, 2, yes, no
     ultrasonic, 2.79, 5, 10, yes, no
     ultrasonic, 2.83, 6, 12, yes, no
     ultrasonic, 2.87, 1, 2, yes, no
     ultrasonic, 2.92, 1, 2, yes, no
     ultrasonic, 0.41, 2, 4, no, yes
     ultrasonic, 0.5, 5, 10, no, yes
     ultrasonic, 0.54, 2, 4, no, yes
     ultrasonic, 0.58, 5, 10, no, yes
     ultrasonic, 0.62, 9, 18, no, yes
     ultrasonic, 0.66, 3, 6, no, yes
     ultrasonic, 0.7, 2, 4, no, yes
     ultrasonic, 0.75, 6, 12, no, yes
     ultrasonic, 0.79, 10, 20, no, yes
     ultrasonic, 0.83, 3, 6, no, yes
     ultrasonic, 0.87, 1, 2, no, yes
     ultrasonic, 0.91, 1, 2, no, yes
     ultrasonic, 0.95, 1, 2, no, yes